,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
502,Winnemucca,US,40.97,37.04,75,1,2.21
503,Pisco,PE,-13.71,71.6,30,20,5.82
504,Chuy,UY,-33.69,72.1,89,88,12.39
505,Hasaki,JP,35.73,43.14,75,20,3.36
506,Rome,IT,41.89,52.18,66,20,5.82
507,Husavik,CA,50.56,33.31,92,92,6.42
508,Yellowknife,CA,62.45,1.4,84,90,4.7
509,Rikitea,PF,-23.12,75.47,100,88,16.87
510,Voh,NC,-20.95,77.27,100,20,11.9
511,East London,ZA,-33.02,77.0,65,20,13.87
512,Takab,IR,36.4,23.5,81,0,2.06
513,Petropavlovsk-Kamchatskiy,RU,53.05,23.0,41,44,11.18
514,Kaputa,ZM,-8.47,73.04,79,64,3.06
515,Chokurdakh,RU,70.62,-41.76,0,20,3.06
516,Vaini,IN,15.34,72.52,46,12,3.36
517,Puerto Ayora,EC,-0.74,77.0,78,75,6.93
518,Merrill,US,42.03,30.02,88,1,4.7
519,Jamestown,AU,-33.21,67.15,74,0,7.31
520,Bilibino,RU,68.06,-43.56,0,0,2.51
521,Hambantota,LK,6.12,78.8,94,20,2.24
522,Bilibino,RU,68.06,-43.56,0,0,2.51
523,Dikson,RU,73.51,-2.43,86,32,19.95
524,Punta Arenas,CL,-53.16,54.34,62,40,16.11
525,Clyde River,CA,70.47,3.2,84,90,17.22
526,Kodiak,US,39.95,43.88,70,1,11.41
527,Fortuna,ES,38.18,64.44,55,20,1.12
528,Saint-Louis,CH,47.59,40.01,93,75,9.17
529,Rikitea,PF,-23.12,75.47,100,88,16.87
530,Avarua,CK,-21.21,73.4,100,20,2.24
531,Cockburn Town,TC,21.46,80.42,99,0,11.61
532,Vaini,IN,15.34,72.52,46,12,3.36
533,Albany,US,42.65,16.09,76,40,4.7
534,Ushuaia,AR,-54.81,49.01,53,0,20.8
535,Hithadhoo,MV,-0.6,82.81,100,0,7.76
536,Vaini,IN,15.34,72.52,46,12,3.36
537,Huarmey,PE,-10.07,74.17,69,8,4.34
538,Ushuaia,AR,-54.81,49.01,53,0,20.8
539,Fortuna,ES,38.18,64.44,55,20,1.12
540,Ketchikan,US,55.34,40.01,85,90,7.76
541,Broken Hill,AU,-31.97,93.2,15,0,9.17
542,Hithadhoo,MV,-0.6,82.81,100,0,7.76
543,Saint-Pierre,FR,48.95,50.63,81,75,16.11
544,Ler,NO,63.2,38.25,55,0,11.41
545,Punta Arenas,CL,-53.16,54.34,62,40,16.11
546,Kununurra,AU,-15.77,86.0,66,0,10.29
547,Jamestown,AU,-33.21,67.15,74,0,7.31
548,Port Alfred,ZA,-33.59,69.71,89,88,14.41
549,Saskylakh,RU,71.97,-38.52,0,24,7.14
550,Mataura,NZ,-46.19,42.53,94,32,7.14
551,Ikalamavony,MG,-21.17,74.44,53,88,3.33
552,Kapaa,US,22.08,69.57,65,75,13.87
553,Thinadhoo,MV,0.53,82.45,100,0,7.81
554,Bundaberg,AU,-24.87,75.2,88,92,5.82
555,Mount Gambier,AU,-37.83,60.8,93,90,10.29
556,Punta Arenas,CL,-53.16,54.34,62,40,16.11
557,Antofagasta,CL,-23.65,64.4,77,75,5.82
558,Aranos,NA,-24.14,94.37,12,0,7.54
559,Port Elizabeth,US,39.31,25.25,84,1,5.12
560,Vardo,US,39.62,26.17,71,1,2.89
561,Mataura,NZ,-46.19,42.53,94,32,7.14
562,Nuristan,UZ,38.49,33.8,97,90,4.7
563,Rikitea,PF,-23.12,75.47,100,88,16.87
564,Mecca,SA,21.43,79.88,50,48,3.29
565,Vaini,IN,15.34,72.52,46,12,3.36
566,Hilo,US,19.71,64.04,83,1,6.93
567,Hasaki,JP,35.73,43.14,75,20,3.36
568,Dikson,RU,73.51,-2.43,86,32,19.95
569,Thompson,CA,55.74,5.0,84,90,8.05
570,Fortuna,ES,38.18,64.44,55,20,1.12
571,Catio,GW,11.28,91.58,42,20,10.56
572,Brae,GB,60.4,45.61,93,20,11.41
573,Poum,MK,41.28,41.0,56,0,4.7
574,Harnosand,SE,62.63,22.91,92,75,8.55
575,Onokhoy,RU,51.92,-2.21,77,8,1.99
576,Capljina,BA,43.12,32.59,100,36,4.41
577,Garowe,SO,8.41,83.03,43,0,13.13
578,Cape Town,ZA,-33.93,75.2,57,40,10.29
579,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
580,Ushuaia,AR,-54.81,49.01,53,0,20.8
581,Conde,BR,-11.81,86.32,66,0,9.26
582,Zhigansk,RU,66.77,-30.82,0,8,6.91
583,Ushuaia,AR,-54.81,49.01,53,0,20.8
584,Sao Felix do Xingu,BR,-6.64,76.06,99,92,2.84
585,Arraial do Cabo,BR,-22.97,86.0,74,0,6.93
586,Eydhafushi,MV,5.1,82.36,100,92,10.45
587,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
588,Misratah,LY,32.38,64.67,78,0,7.76
589,New Norfolk,AU,-42.78,60.8,82,75,2.21
590,Rikitea,PF,-23.12,75.47,100,88,16.87
591,Dunedin,NZ,-45.87,41.05,98,12,3.62
592,Khairabad,AF,36.84,34.88,99,92,0.98
593,Severo-Kurilsk,RU,50.68,24.71,100,36,8.81
594,Soyo,AO,-6.13,83.12,83,76,4.56
595,Rikitea,PF,-23.12,75.47,100,88,16.87
596,Bella Vista,AR,-28.51,74.03,98,92,13.91
597,Saint George,GR,39.45,49.03,91,20,2.51
598,Cape Town,ZA,-33.93,75.2,57,40,10.29
599,Kodiak,US,39.95,43.88,70,1,11.41
600,Avarua,CK,-21.21,73.4,100,20,2.24
601,Kedrovyy,RU,56.17,19.4,73,40,13.42
602,Catuday,PH,16.29,80.11,92,56,1.72
603,Avarua,CK,-21.21,73.4,100,20,2.24
604,Mazagao,BR,-0.12,82.4,88,75,3.36
605,Victoria,BN,5.28,78.58,88,75,1.12
606,Kendari,ID,-3.99,79.3,79,64,5.79
607,Saldanha,PT,41.42,46.45,99,92,9.26
608,Vaini,IN,15.34,72.52,46,12,3.36
609,Ca Mau,VN,9.18,78.98,93,24,7.14
610,Punta Arenas,CL,-53.16,54.34,62,40,16.11
611,Ushuaia,AR,-54.81,49.01,53,0,20.8
612,Isiro,CD,2.77,84.92,33,0,5.23
613,Rikitea,PF,-23.12,75.47,100,88,16.87
614,Ponta do Sol,BR,-20.63,79.52,92,68,4.41
615,Quiruvilca,PE,-7.37,60.8,77,20,5.82
616,Port Alfred,ZA,-33.59,69.71,89,88,14.41
617,Surt,LY,31.21,64.0,90,0,10.56
618,Pacific Grove,US,36.62,43.81,89,1,4.7
619,Atuona,PF,-9.8,80.51,100,88,14.07
620,Mataura,NZ,-46.19,42.53,94,32,7.14
621,Grand Gaube,MU,-20.01,82.4,65,75,14.99
622,Busselton,AU,-33.64,64.0,100,0,21.07
623,Sabang,PH,13.72,77.72,95,88,14.85
624,Marsh Harbour,BS,26.54,74.35,100,24,8.25
625,Barrow,AR,-38.31,80.42,45,0,11.56
626,Fare,PF,-16.7,82.72,100,0,3.62
627,Lebu,ET,8.96,69.8,43,40,11.41
628,Port Lincoln,AU,-34.72,62.56,100,0,12.28
629,Severo-Kurilsk,RU,50.68,24.71,100,36,8.81
630,Mar del Plata,AR,-46.43,63.82,61,88,12.91
631,Rio Gallegos,AR,-51.62,57.74,79,0,6.24
632,Georgetown,GY,6.8,77.97,94,90,11.41
633,Kapaa,US,22.08,69.57,65,75,13.87
634,Victoria,BN,5.28,78.58,88,75,1.12
635,Ilulissat,GL,69.22,28.4,86,75,6.93
636,Airai,TL,-8.93,71.65,89,36,1.5
637,Mahebourg,MU,-20.41,82.4,65,75,14.99
638,Soubre,CI,5.79,88.61,63,36,3.89
639,Albany,US,42.65,16.09,76,40,4.7
640,Akdepe,TM,42.05,27.61,86,90,6.93
641,Mataura,NZ,-46.19,42.53,94,32,7.14
642,Kavieng,PG,-2.57,78.98,100,92,4.23
643,Navirai,BR,-23.07,92.39,65,20,3.29
644,Sulangan,PH,11.14,79.16,100,100,20.85
645,Mattru,SL,7.62,96.76,35,20,3.89
646,Nikolskoye,RU,59.7,19.4,85,90,6.71
647,Saint-Philippe,CA,45.36,12.56,78,1,4.7
648,Punta Arenas,CL,-53.16,54.34,62,40,16.11
649,Tuktoyaktuk,CA,69.44,8.47,100,92,4.9
650,Port Alfred,ZA,-33.59,69.71,89,88,14.41
651,Rikitea,PF,-23.12,75.47,100,88,16.87
652,Klaksvik,FO,62.23,44.6,87,0,14.99
653,Busselton,AU,-33.64,64.0,100,0,21.07
654,Punta Arenas,CL,-53.16,54.34,62,40,16.11
655,Chokurdakh,RU,70.62,-41.76,0,20,3.06
656,Barrow,AR,-38.31,80.42,45,0,11.56
657,Hithadhoo,MV,-0.6,82.81,100,0,7.76
658,Kapaa,US,22.08,69.57,65,75,13.87
659,Nome,US,30.04,56.17,93,90,5.82
660,Lagoa,PT,37.14,59.0,77,20,6.93
661,Esperance,TT,10.24,77.0,94,75,3.36
662,Goderich,CA,43.74,35.33,84,56,14.41
663,Georgetown,GY,6.8,77.97,94,90,11.41
664,Kapaa,US,22.08,69.57,65,75,13.87
665,Bredasdorp,ZA,-34.53,80.6,42,12,20.8
666,Rikitea,PF,-23.12,75.47,100,88,16.87
667,Arraial do Cabo,BR,-22.97,86.0,74,0,6.93
668,Bethel,US,60.79,-9.86,81,1,6.93
669,Omoa,HN,15.77,69.67,88,40,4.7
670,Kulhudhuffushi,MV,6.62,82.45,100,64,7.87
671,Atuona,PF,-9.8,80.51,100,88,14.07
672,Mataura,NZ,-46.19,42.53,94,32,7.14
673,Rikitea,PF,-23.12,75.47,100,88,16.87
674,Jamestown,AU,-33.21,67.15,74,0,7.31
675,Haldensleben,DE,52.29,41.0,80,90,5.82
676,Guerrero Negro,MX,27.97,47.35,95,0,5.79
677,Mokhsogollokh,RU,61.4,-27.99,43,20,4.12
678,Rikitea,PF,-23.12,75.47,100,88,16.87
679,Ongandjera,NA,-17.88,94.19,19,0,12.57
